timestamp,source_ip,destination_ip,event_type,action,port,status,username
2026-01-01 02:00:01,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:03,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:04,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:05,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:08,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:10,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:13,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:14,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:16,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:18,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:19,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:21,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:23,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:25,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:28,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:29,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:31,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:33,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:34,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:36,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:37,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:39,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:41,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:42,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:45,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:46,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:47,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:48,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:50,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:53,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:55,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:56,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:57,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:00:57,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:00:59,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:01:01,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:01:01,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:01:02,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:01:04,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:01:04,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:01:07,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:01:08,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:01:09,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:01:10,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:01:13,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:01:15,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:01:17,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:01:19,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:01:22,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:01:23,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:01:25,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:01:26,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:01:27,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
2026-01-01 02:01:28,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:01:30,203.0.113.155,192.168.1.20,http_request,GET,443,success,unknown
2026-01-01 02:01:32,203.0.113.155,192.168.1.20,http_request,POST,443,success,unknown
